;;;;;;;;;;;;
Tasas de paro por distintos grupos de edad, sexo y comunidad autónoma;;;;;;;;;;;;
Unidades: Tasas;;;;;;;;;;;;
;;;;;;;;;;;;
 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;
    2015;54.52;64.58;41.65;38.69;41.23;35.86;14.53;14.64;14.41;8.65;7.94;9.52
    2014;52.11;53.22;50.62;44.12;45.70;42.48;16.10;16.14;16.06;9.20;10.34;7.76
    2013;64.81;53.91;75.25;43.47;47.43;38.50;15.89;15.82;15.97;9.91;10.21;9.54
    2012;65.13;55.33;74.87;39.95;40.11;39.76;14.67;14.95;14.36;10.03;8.87;11.57
    2011;51.21;60.29;42.89;31.95;29.47;34.45;11.45;11.20;11.73;7.87;6.64;9.57
    2010;41.08;37.51;46.62;29.20;32.36;25.89;9.87;9.55;10.25;6.10;4.81;8.10
    2009;42.22;40.24;44.61;29.77;33.20;25.94;10.22;10.06;10.41;6.66;5.21;9.09
    2008;38.08;32.34;45.09;16.17;13.67;19.06;5.95;5.31;6.74;3.21;2.41;4.50
    2007;30.76;21.55;40.94;15.23;15.49;14.94;5.53;4.27;7.12;3.76;3.07;4.94
    2006;41.23;36.40;47.90;17.13;16.65;17.71;6.24;4.77;8.08;3.42;2.69;4.82
